rf1,gwl1,rf2,gwl2,rf3,gwl3,rf4,gwl4,rf5,gwl5,rf6,gwl6,rf7,gwl7,rf8,gwl8,rf9,gwl9,rf10,gwl10,rf11,gwl11,rf12,gwl12,Inflow
2.32,8.822838,1.54,9.176682,0.0,8.775898,4.27,8.958902,15.76,8.893057,1.74,8.9852495,0.24,7.229685,0.18,9.024214,11.95,8.964801,36.48,7.2672973,5.98,8.9788265,42.08,7.272871,4.315401723658605
0.0,8.723322,0.0,9.814783,0.0,8.886646,0.74,8.914047,0.48,8.828705,0.0,8.97721,0.0,9.203698,0.0,9.793311,0.0,9.292718,0.0,8.523621,0.0,9.271028,0.0,8.958841,4.205587989991661
0.0,9.037265,0.0,10.17916,0.0,9.125983,0.0,9.050251,0.3,8.749301,0.0,8.9678,0.0,9.772496,0.0,9.845124,0.0,9.30958,0.0,8.673213,0.0,9.267835,0.0,9.077115,3.564081178760078
1.8,9.030939,0.41,10.06015,1.16,9.12587,2.6,8.974456,1.82,8.779317,0.0,8.95835,0.0,10.567377,0.0,9.858871,0.0,9.327723,0.0,8.98089,0.0,9.264585,0.0,9.027742,5.617876007784264
0.0,8.993653,2.18,9.370413,0.0,9.074155,5.97,8.854679,4.43,8.843144,0.88,8.923142,0.0,10.61895,0.0,9.845744,2.61,9.242538,6.47,8.944696,7.58,9.113886,16.82,8.478628,3.826800111203781
17.53,9.409746,3.91,9.185238,13.74,9.237946,5.77,8.880482,6.06,8.887203,0.0,8.936766,1.97,9.804909,6.78,9.028053,5.21,9.174101,3.86,9.124601,1.44,9.20246,2.74,8.251823,6.742424242424242
9.86,9.316855,2.67,9.214652,6.9,9.029969,4.15,8.864561,16.42,8.952608,2.02,8.949848,2.52,9.05138,1.04,9.201564,6.3,9.124951,13.63,9.027469,8.9,9.036845,1.28,8.555268,4.102029469001946
16.0,9.377005,8.02,9.065305,10.46,9.210224,0.69,8.73475,0.0,8.870958,1.05,8.93804,0.11,9.72868,2.14,9.143713,1.06,9.235177,3.39,8.995227,0.25,9.215492,2.58,8.471123,3.7440922991381713
15.85,9.386601,6.12,9.0171385,5.0,9.129968,10.68,8.989494,6.15,8.9915905,0.0,8.896873,4.66,8.179177,31.64,8.279479,25.87,8.737835,35.81,7.923671,14.87,9.0663595,5.0,8.321018,3.0963302752293576
0.14,9.230386,0.0,9.226143,0.0,8.902175,0.0,8.737645,0.0,8.809886,0.0,8.868276,0.0,9.171746,0.0,9.137269,0.0,9.080324,0.0,8.946826,0.0,9.199146,0.0,8.973487,1.9690019460661663
0.0,9.129713,0.0,9.2245455,0.0,8.736635,0.0,8.663167,0.0,8.681892,0.0,8.857694,0.0,9.749565,0.0,9.19472,0.0,9.193179,0.0,9.127129,0.0,9.215724,0.0,9.129655,2.917014178482068
2.2,9.009291,10.17,9.083137,7.03,9.060905,6.5,8.957563,8.8,9.071255,10.82,8.950033,21.98,7.5569386,6.47,8.637351,4.84,9.071947,0.0,9.21895,0.0,9.211195,0.0,9.277002,2.3199888796219077
5.75,9.116521,1.26,9.211778,10.19,9.337066,9.02,9.055054,8.32,9.075591,0.0,8.942148,33.47,7.9747033,25.08,8.402438,13.48,9.0805235,19.35,8.878183,15.89,9.101185,9.05,8.722182,2.2240756185710318
1.2,8.898257,0.26,9.202182,1.63,8.910236,5.11,8.991923,27.7,9.043862,0.0,8.952249,0.29,8.980929,10.87,8.567651,20.61,8.860559,35.48,7.8631744,4.78,9.026619,19.89,8.7366705,2.1288573811509592
1.33,8.936265,0.29,9.173416,1.34,8.889435,0.75,8.830503,1.36,8.946026,0.0,8.94373,1.51,8.501649,1.14,8.981009,2.94,9.036477,8.77,8.021968,4.34,9.035418,0.39,9.033583,2.470113983875452
0.32,8.959732,0.0,9.185462,0.0,8.837142,0.2,8.712734,3.68,9.066634,0.55,8.926924,0.45,8.457841,0.0,9.131781,5.99,8.983542,5.46,8.216169,7.94,8.999495,5.64,8.51988,0.8361134278565473
0.0,9.061858,0.0,9.75629,0.0,8.963327,0.0,8.718783,1.17,9.0165415,0.0,8.885805,0.32,8.485988,0.0,9.05788,0.83,9.195097,1.31,8.946803,0.87,9.171545,2.76,8.7495,1.2802335279399502
0.0,9.21631,0.0,9.7913885,3.85,9.101598,7.02,9.102267,9.63,9.125923,0.0,8.879946,19.81,7.6493106,22.06,8.557006,10.53,9.030976,3.71,8.4772,5.34,9.033539,0.0,9.105391,1.779260494856825
0.0,9.296548,6.96,9.0460005,0.48,9.086537,0.46,8.749375,0.0,8.724699,2.64,8.943261,3.15,7.9899,1.56,8.708801,0.5,9.248293,0.0,8.987786,2.5,9.137443,0.0,9.257344,0.5831248262440923
1.16,9.346216,2.54,9.041714,1.48,9.148931,0.11,8.794302,0.0,8.701199,3.87,8.904465,5.91,7.7311497,0.65,8.898677,0.37,9.241162,5.11,8.617558,0.2,9.210771,2.1,9.158633,1.11690297470114
0.0,9.390218,0.0,8.984125,0.24,9.180095,0.13,8.883947,2.34,8.844647,0.0,8.927628,2.02,8.372341,0.1,9.014558,0.98,9.2252035,0.0,9.117644,0.0,9.196247,0.0,9.380018,1.6284403669724772
